"","ligand_cl","receptor_cl","lr_id","ligand_exp","receptor_exp","int_exp","id","ligand_symbol","receptor_symbol"
"986936","IM","Ciliated_cells",1174,0.698369565217391,0.119266055045872,0.119266055045872,"IM->Ciliated_cells/1174","Pf4","Procr"
"988589","IM","MoAM",1176,0.698369565217391,0.139344262295082,0.139344262295082,"IM->MoAM/1176","Pf4","Thbd"
"988705","IM","Proliferating_TRAM",1176,0.698369565217391,0.171428571428571,0.171428571428571,"IM->Proliferating_TRAM/1176","Pf4","Thbd"
"988850","IM","Mesothelium",1176,0.698369565217391,0.135135135135135,0.135135135135135,"IM->Mesothelium/1176","Pf4","Thbd"
"988995","IM","Mast_cells",1176,0.698369565217391,0.333333333333333,0.333333333333333,"IM->Mast_cells/1176","Pf4","Thbd"
"1003747","Lymphatics","MoAM",1194,0.16,0.778688524590164,0.16,"Lymphatics->MoAM/1194","Plau","Lrp1"
"1041049","Neutrophils","Proliferating_DC",1238,0.891566265060241,0.104166666666667,0.104166666666667,"Neutrophils->Proliferating_DC/1238","Ptma","Vipr1"
"1068918","Neutrophils","Classical_monocytes",1272,0.993975903614458,0.146341463414634,0.146341463414634,"Neutrophils->Classical_monocytes/1272","Rps19","C5ar1"
"1086951","AT2","Endo_2",1293,1,0.10126582278481,0.10126582278481,"AT2->Endo_2/1293","Scgb1a1","Lmbr1l"
"1087212","AT2","Ccr7_DC",1293,1,0.180722891566265,0.180722891566265,"AT2->Ccr7_DC/1293","Scgb1a1","Lmbr1l"
"1087357","AT2","Lymphatics",1293,1,0.12,0.12,"AT2->Lymphatics/1293","Scgb1a1","Lmbr1l"
"1087879","AT2","AT2_Retnla",1294,1,0.727748691099476,0.727748691099476,"AT2->AT2_Retnla/1294","Scgb1a1","Lrp2"
"1090726","Neutrophils","Lymphatics",1297,0.801204819277108,0.12,0.12,"Neutrophils->Lymphatics/1297","Selplg","Esam"
"1091509","Neutrophils","Proliferating_DC",1298,0.801204819277108,0.125,0.125,"Neutrophils->Proliferating_DC/1298","Selplg","Itgam"
"1091683","Neutrophils","B_cells",1299,0.801204819277108,0.136363636363636,0.136363636363636,"Neutrophils->B_cells/1299","Selplg","Itgb2"
